FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201801,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,30.25,44.16,-22.32,-36.23,11648.44,0.69,0.52,1.05,1.05,13.43,31.11,4.29,5.57,3.56,1.68,1.46,77.5,2851.5,3579.82,1952.2,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201802,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,29.12,40.58,-50.79,-62.25,11477.39,0.69,0.52,-0.88,0.16,9.68,28.9,3.13,5.21,3.6,1.68,1.3,77.2,2855.39,3521.91,1939.74,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201803,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,19.49,41.71,-26.63,-48.85,11378.74,0.69,0.52,-0.38,-0.22,8.79,27.72,2.85,5.02,3.62,1.68,1.22,76.8,2815.06,3565.42,2078.87,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201804,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,15.68,34.89,-19.09,-38.3,11398.56,0.69,0.52,0.57,0.35,8.45,27.51,2.74,4.98,3.62,1.68,1.25,76.6,2802.68,3614.45,2158,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201805,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,24.29,45.78,-35.15,-56.64,11324.15,0.69,0.52,-0.1,0.25,7.73,25.02,2.51,4.57,3.56,1.2,1.18,76.8,2862.48,3638.13,2270.8,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201806,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,24.21,52.53,-31.67,-59.99,11273.03,0.69,0.52,0.2,0.45,10.17,27.24,3.28,4.94,3.45,1.2,1.26,76.7,2882.4,3674.76,2286.39,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201807,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,5.74,47.09,-35.2,-76.55,11273.68,0.69,0.52,0.72,1.17,9.52,26.27,3.08,4.78,3.42,1.2,1.29,77,2829.83,3656.78,2333.25,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201808,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,12.94,45.82,-42.63,-75.51,11269.17,0.69,0.52,0.69,1.87,12.12,27.96,3.89,5.05,3.39,1.08,1.38,76.7,2823.11,3594.8,2302.69,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201809,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,8.06,25.91,-24.42,-42.27,11260.55,0.69,0.52,0.32,2.2,14.73,25.89,4.69,4.71,3.32,1.2,1.35,76.5,2850.77,3612.34,2329.39,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201810,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,11.12,43.58,-31.57,-64.03,11033.79,0.69,0.52,-1.39,0.78,10.14,22.37,3.27,4.12,3.37,1.08,1.08,76,2796.78,3541.83,2287.1,512267592,29/05/2019
